time_in_ms;speedA;speedB;GPIO1;GPIO2;GPIO3;GPIO4
1754930113313;50;50;0;1;1;0
1754930113563;50;50;0;1;1;0
1754930113813;50;50;0;1;1;0
1754930114063;50;50;0;1;1;0
1754930114313;50;50;0;0;0;0
1754930114563;50;50;0;1;1;0
1754930114813;50;50;0;0;0;0
1754930115063;50;50;0;0;0;0
1754930115313;50;50;0;0;0;0
1754930115563;50;50;0;1;1;0
1754930115813;50;43;0;0;0;0
1754930116063;50;34;0;0;0;0
1754930116313;50;25;0;0;0;0
1754930116563;50;16;0;0;0;0
1754930116813;50;8;0;0;0;0
1754930117063;50;0;0;0;0;0
1754930117313;50;0;0;0;0;0
1754930117563;50;0;1;0;0;1
1754930117813;50;0;1;0;0;1
1754930118063;50;0;1;0;0;1
1754930118313;50;0;0;0;0;0
1754930118563;50;0;1;0;0;1
1754930118813;50;0;1;0;0;1
1754930119063;50;0;1;0;0;1
1754930119313;50;50;0;0;0;0
1754930119563;50;50;0;0;0;0
1754930119813;50;15;0;0;0;0
1754930120063;50;50;0;0;0;0
1754930120313;50;50;0;0;0;0
1754930120563;50;50;1;0;0;1
1754930120813;50;50;1;0;0;1
1754930121063;50;50;0;0;0;0
1754930121313;50;50;1;0;0;1
1754930121563;50;50;1;0;0;1
1754930121813;50;50;1;0;0;1
1754930122063;50;50;0;0;0;0
1754930122313;50;50;0;0;0;0
1754930122563;50;50;0;0;0;0
1754930122813;50;50;0;0;0;0
1754930123063;50;50;0;0;0;0
1754930123313;50;50;0;0;0;0
1754930123563;50;50;0;0;0;0
1754930123813;50;50;0;0;0;0
1754930124063;50;50;0;0;0;0
1754930124313;50;50;0;0;0;0
1754930124563;50;50;0;0;0;0
1754930124813;50;50;0;0;0;0
1754930125063;50;50;0;0;0;0
1754930125313;50;50;0;0;0;0
1754930125563;50;50;0;0;0;0
1754930125813;50;50;0;0;0;0
1754930126063;50;50;0;0;0;0
1754930126313;50;50;0;0;0;0
1754930126563;50;50;0;0;0;0
1754930126813;50;50;0;0;0;0
1754930127063;50;50;0;0;0;0
1754930127313;50;50;0;0;0;0
1754930127563;50;50;0;0;0;0
1754930127813;50;50;0;0;0;0
1754930128063;50;50;0;0;0;0
1754930128313;50;50;0;0;0;0
1754930128563;50;50;0;0;0;0
1754930128813;50;50;0;0;0;0
1754930129063;50;50;0;0;0;0
1754930129313;50;50;0;0;0;0
1754930129563;50;50;0;0;0;0
1754930129813;50;50;0;0;0;0
1754930130063;50;50;0;0;0;0
1754930130313;50;50;0;0;0;0
1754930130563;50;50;0;0;0;0
1754930130813;50;50;0;0;0;0
1754930131063;50;50;0;0;0;0
1754930131313;50;50;0;0;0;0
1754930131563;50;50;0;0;0;0
1754930131813;50;50;0;0;0;0
1754930132063;50;50;0;0;0;0
1754930132313;50;50;0;0;0;0
1754930132563;50;50;0;0;0;0
1754930132813;50;50;0;0;0;0
1754930133063;50;50;0;0;0;0
1754930133313;50;50;0;0;0;0
1754930133563;50;50;0;0;0;0
1754930133813;50;50;0;0;0;0
1754930134063;50;50;0;0;0;0
1754930134313;50;50;0;0;0;0
1754930134563;50;50;0;0;0;0
1754930134813;50;50;0;0;0;0
1754930135063;50;50;0;0;0;0
1754930135313;50;50;0;0;0;0
1754930135563;50;50;0;0;0;0
1754930135813;50;50;0;0;0;0
1754930136063;50;50;0;0;0;0
1754930136313;50;50;0;0;0;0
1754930136563;50;50;0;0;0;0
1754930136813;50;50;0;0;0;0
1754930137063;50;50;0;0;0;0
1754930137313;50;50;0;0;0;0
1754930137563;50;50;0;0;0;0
1754930137813;50;50;0;0;0;0
1754930138063;50;50;0;0;0;0
1754930138313;50;50;0;0;0;0
1754930138563;50;50;0;0;0;0
1754930138813;50;50;0;0;0;0
1754930139063;50;50;0;0;0;0
1754930139313;50;50;0;0;0;0
1754930139563;50;50;0;0;0;0
1754930139813;50;50;0;0;0;0
1754930140063;50;50;0;0;0;0
1754930140313;50;50;0;0;0;0
1754930140563;50;50;0;1;1;0
1754930140813;50;50;0;1;1;0
1754930141063;50;50;0;1;1;0
1754930141313;50;50;0;1;1;0
1754930141563;50;50;0;1;1;0
1754930141813;36;50;0;0;0;0
1754930142063;12;50;0;0;0;0
1754930142313;0;50;0;0;0;0
1754930142563;0;50;0;0;0;0
1754930142813;0;50;0;0;0;0
1754930143063;0;50;1;0;0;1
1754930143313;0;50;1;0;0;1
1754930143563;0;50;1;0;0;1
1754930143813;16;50;0;0;0;0
1754930144063;11;50;0;0;0;0
1754930144313;0;50;1;0;0;1
1754930144563;0;50;1;0;0;1
1754930144813;0;50;1;0;0;1
1754930145063;0;50;1;0;0;1
1754930145313;46;50;0;0;0;0
1754930145563;20;50;0;0;0;0
1754930145813;0;50;0;0;0;0
1754930146063;10;50;1;0;0;1
