class;source_image;copied_image
forward;Records/#Record_2025-07-03_11-32-43/Images/1751535610992.png;analysis_result/#Record_2025-07-03_11-32-43/examples/forward_1.png
forward;Records/#Record_2025-07-03_11-32-43/Images/1751535333497.png;analysis_result/#Record_2025-07-03_11-32-43/examples/forward_2.png
forward;Records/#Record_2025-07-03_11-32-43/Images/1751535655494.png;analysis_result/#Record_2025-07-03_11-32-43/examples/forward_3.png
light_left;Records/#Record_2025-07-03_11-32-43/Images/1751535508059.png;analysis_result/#Record_2025-07-03_11-32-43/examples/light_left_1.png
light_left;Records/#Record_2025-07-03_11-32-43/Images/1751535381835.png;analysis_result/#Record_2025-07-03_11-32-43/examples/light_left_2.png
light_left;Records/#Record_2025-07-03_11-32-43/Images/1751535682190.png;analysis_result/#Record_2025-07-03_11-32-43/examples/light_left_3.png
light_right;Records/#Record_2025-07-03_11-32-43/Images/1751535214411.png;analysis_result/#Record_2025-07-03_11-32-43/examples/light_right_1.png
light_right;Records/#Record_2025-07-03_11-32-43/Images/1751535236618.png;analysis_result/#Record_2025-07-03_11-32-43/examples/light_right_2.png
light_right;Records/#Record_2025-07-03_11-32-43/Images/1751535407180.png;analysis_result/#Record_2025-07-03_11-32-43/examples/light_right_3.png
backward;Records/#Record_2025-07-03_11-32-43/Images/1751535359598.png;analysis_result/#Record_2025-07-03_11-32-43/examples/backward_1.png
backward;Records/#Record_2025-07-03_11-32-43/Images/1751535459208.png;analysis_result/#Record_2025-07-03_11-32-43/examples/backward_2.png
backward;Records/#Record_2025-07-03_11-32-43/Images/1751535212582.png;analysis_result/#Record_2025-07-03_11-32-43/examples/backward_3.png
stop;Records/#Record_2025-07-03_11-32-43/Images/1751535404621.png;analysis_result/#Record_2025-07-03_11-32-43/examples/stop_1.png
stop;Records/#Record_2025-07-03_11-32-43/Images/1751535232970.png;analysis_result/#Record_2025-07-03_11-32-43/examples/stop_2.png
stop;Records/#Record_2025-07-03_11-32-43/Images/1751535212649.png;analysis_result/#Record_2025-07-03_11-32-43/examples/stop_3.png
