class;source_image;copied_image
forward;Records/#Record_2025-07-02_12-10-19/Images/1751451326314.png;analysis_result/#Record_2025-07-02_12-10-19/examples/forward_1.png
forward;Records/#Record_2025-07-02_12-10-19/Images/1751451215593.png;analysis_result/#Record_2025-07-02_12-10-19/examples/forward_2.png
forward;Records/#Record_2025-07-02_12-10-19/Images/1751451264942.png;analysis_result/#Record_2025-07-02_12-10-19/examples/forward_3.png
light_left;Records/#Record_2025-07-02_12-10-19/Images/1751451050649.png;analysis_result/#Record_2025-07-02_12-10-19/examples/light_left_1.png
light_left;Records/#Record_2025-07-02_12-10-19/Images/1751451092043.png;analysis_result/#Record_2025-07-02_12-10-19/examples/light_left_2.png
light_left;Records/#Record_2025-07-02_12-10-19/Images/1751451240708.png;analysis_result/#Record_2025-07-02_12-10-19/examples/light_left_3.png
light_right;Records/#Record_2025-07-02_12-10-19/Images/1751451053251.png;analysis_result/#Record_2025-07-02_12-10-19/examples/light_right_1.png
light_right;Records/#Record_2025-07-02_12-10-19/Images/1751451131227.png;analysis_result/#Record_2025-07-02_12-10-19/examples/light_right_2.png
light_right;Records/#Record_2025-07-02_12-10-19/Images/1751451329375.png;analysis_result/#Record_2025-07-02_12-10-19/examples/light_right_3.png
backward;Records/#Record_2025-07-02_12-10-19/Images/1751451096378.png;analysis_result/#Record_2025-07-02_12-10-19/examples/backward_1.png
backward;Records/#Record_2025-07-02_12-10-19/Images/1751451210845.png;analysis_result/#Record_2025-07-02_12-10-19/examples/backward_2.png
backward;Records/#Record_2025-07-02_12-10-19/Images/1751451258924.png;analysis_result/#Record_2025-07-02_12-10-19/examples/backward_3.png
stop;Records/#Record_2025-07-02_12-10-19/Images/1751451355667.png;analysis_result/#Record_2025-07-02_12-10-19/examples/stop_1.png
stop;Records/#Record_2025-07-02_12-10-19/Images/1751451119639.png;analysis_result/#Record_2025-07-02_12-10-19/examples/stop_2.png
stop;Records/#Record_2025-07-02_12-10-19/Images/1751451265541.png;analysis_result/#Record_2025-07-02_12-10-19/examples/stop_3.png
