class;source_image;copied_image
forward;Records/#Record_2025-07-03_18-36-57/Images/1751560754125.png;analysis_result/#Record_2025-07-03_18-36-57/examples/forward_1.png
forward;Records/#Record_2025-07-03_18-36-57/Images/1751561240565.png;analysis_result/#Record_2025-07-03_18-36-57/examples/forward_2.png
forward;Records/#Record_2025-07-03_18-36-57/Images/1751561351329.png;analysis_result/#Record_2025-07-03_18-36-57/examples/forward_3.png
light_left;Records/#Record_2025-07-03_18-36-57/Images/1751561672077.png;analysis_result/#Record_2025-07-03_18-36-57/examples/light_left_1.png
light_left;Records/#Record_2025-07-03_18-36-57/Images/1751561653902.png;analysis_result/#Record_2025-07-03_18-36-57/examples/light_left_2.png
light_left;Records/#Record_2025-07-03_18-36-57/Images/1751560691398.png;analysis_result/#Record_2025-07-03_18-36-57/examples/light_left_3.png
light_right;Records/#Record_2025-07-03_18-36-57/Images/1751560679060.png;analysis_result/#Record_2025-07-03_18-36-57/examples/light_right_1.png
light_right;Records/#Record_2025-07-03_18-36-57/Images/1751561100344.png;analysis_result/#Record_2025-07-03_18-36-57/examples/light_right_2.png
light_right;Records/#Record_2025-07-03_18-36-57/Images/1751561041413.png;analysis_result/#Record_2025-07-03_18-36-57/examples/light_right_3.png
sharp_left;Records/#Record_2025-07-03_18-36-57/Images/1751561611164.png;analysis_result/#Record_2025-07-03_18-36-57/examples/sharp_left_1.png
sharp_left;Records/#Record_2025-07-03_18-36-57/Images/1751561636890.png;analysis_result/#Record_2025-07-03_18-36-57/examples/sharp_left_2.png
sharp_left;Records/#Record_2025-07-03_18-36-57/Images/1751561611105.png;analysis_result/#Record_2025-07-03_18-36-57/examples/sharp_left_3.png
backward;Records/#Record_2025-07-03_18-36-57/Images/1751561608957.png;analysis_result/#Record_2025-07-03_18-36-57/examples/backward_1.png
backward;Records/#Record_2025-07-03_18-36-57/Images/1751561612405.png;analysis_result/#Record_2025-07-03_18-36-57/examples/backward_2.png
backward;Records/#Record_2025-07-03_18-36-57/Images/1751560668929.png;analysis_result/#Record_2025-07-03_18-36-57/examples/backward_3.png
stop;Records/#Record_2025-07-03_18-36-57/Images/1751561247694.png;analysis_result/#Record_2025-07-03_18-36-57/examples/stop_1.png
stop;Records/#Record_2025-07-03_18-36-57/Images/1751561373862.png;analysis_result/#Record_2025-07-03_18-36-57/examples/stop_2.png
stop;Records/#Record_2025-07-03_18-36-57/Images/1751561620606.png;analysis_result/#Record_2025-07-03_18-36-57/examples/stop_3.png
