class;source_image;copied_image
forward;Records/#Record_2025-07-03_18-08-57/Images/1751559253517.png;analysis_result/#Record_2025-07-03_18-08-57/examples/forward_1.png
forward;Records/#Record_2025-07-03_18-08-57/Images/1751559148291.png;analysis_result/#Record_2025-07-03_18-08-57/examples/forward_2.png
forward;Records/#Record_2025-07-03_18-08-57/Images/1751559038574.png;analysis_result/#Record_2025-07-03_18-08-57/examples/forward_3.png
light_left;Records/#Record_2025-07-03_18-08-57/Images/1751559264041.png;analysis_result/#Record_2025-07-03_18-08-57/examples/light_left_1.png
light_left;Records/#Record_2025-07-03_18-08-57/Images/1751559067215.png;analysis_result/#Record_2025-07-03_18-08-57/examples/light_left_2.png
light_left;Records/#Record_2025-07-03_18-08-57/Images/1751559282760.png;analysis_result/#Record_2025-07-03_18-08-57/examples/light_left_3.png
light_right;Records/#Record_2025-07-03_18-08-57/Images/1751558992259.png;analysis_result/#Record_2025-07-03_18-08-57/examples/light_right_1.png
light_right;Records/#Record_2025-07-03_18-08-57/Images/1751559014901.png;analysis_result/#Record_2025-07-03_18-08-57/examples/light_right_2.png
light_right;Records/#Record_2025-07-03_18-08-57/Images/1751559147318.png;analysis_result/#Record_2025-07-03_18-08-57/examples/light_right_3.png
backward;Records/#Record_2025-07-03_18-08-57/Images/1751559078624.png;analysis_result/#Record_2025-07-03_18-08-57/examples/backward_1.png
backward;Records/#Record_2025-07-03_18-08-57/Images/1751559138877.png;analysis_result/#Record_2025-07-03_18-08-57/examples/backward_2.png
backward;Records/#Record_2025-07-03_18-08-57/Images/1751558975722.png;analysis_result/#Record_2025-07-03_18-08-57/examples/backward_3.png
stop;Records/#Record_2025-07-03_18-08-57/Images/1751559336906.png;analysis_result/#Record_2025-07-03_18-08-57/examples/stop_1.png
stop;Records/#Record_2025-07-03_18-08-57/Images/1751559092385.png;analysis_result/#Record_2025-07-03_18-08-57/examples/stop_2.png
stop;Records/#Record_2025-07-03_18-08-57/Images/1751559312946.png;analysis_result/#Record_2025-07-03_18-08-57/examples/stop_3.png
