class;source_image;copied_image
forward;Records/#Record_2025-07-03_11-44-47/Images/1751536092014.png;analysis_result/#Record_2025-07-03_11-44-47/examples/forward_1.png
forward;Records/#Record_2025-07-03_11-44-47/Images/1751536025641.png;analysis_result/#Record_2025-07-03_11-44-47/examples/forward_2.png
forward;Records/#Record_2025-07-03_11-44-47/Images/1751536155209.png;analysis_result/#Record_2025-07-03_11-44-47/examples/forward_3.png
light_left;Records/#Record_2025-07-03_11-44-47/Images/1751536208702.png;analysis_result/#Record_2025-07-03_11-44-47/examples/light_left_1.png
light_left;Records/#Record_2025-07-03_11-44-47/Images/1751536115548.png;analysis_result/#Record_2025-07-03_11-44-47/examples/light_left_2.png
light_left;Records/#Record_2025-07-03_11-44-47/Images/1751536182443.png;analysis_result/#Record_2025-07-03_11-44-47/examples/light_left_3.png
light_right;Records/#Record_2025-07-03_11-44-47/Images/1751535987957.png;analysis_result/#Record_2025-07-03_11-44-47/examples/light_right_1.png
light_right;Records/#Record_2025-07-03_11-44-47/Images/1751536064013.png;analysis_result/#Record_2025-07-03_11-44-47/examples/light_right_2.png
light_right;Records/#Record_2025-07-03_11-44-47/Images/1751536065273.png;analysis_result/#Record_2025-07-03_11-44-47/examples/light_right_3.png
backward;Records/#Record_2025-07-03_11-44-47/Images/1751536145104.png;analysis_result/#Record_2025-07-03_11-44-47/examples/backward_1.png
backward;Records/#Record_2025-07-03_11-44-47/Images/1751536182182.png;analysis_result/#Record_2025-07-03_11-44-47/examples/backward_2.png
backward;Records/#Record_2025-07-03_11-44-47/Images/1751535934143.png;analysis_result/#Record_2025-07-03_11-44-47/examples/backward_3.png
stop;Records/#Record_2025-07-03_11-44-47/Images/1751536219518.png;analysis_result/#Record_2025-07-03_11-44-47/examples/stop_1.png
stop;Records/#Record_2025-07-03_11-44-47/Images/1751536263454.png;analysis_result/#Record_2025-07-03_11-44-47/examples/stop_2.png
stop;Records/#Record_2025-07-03_11-44-47/Images/1751535935546.png;analysis_result/#Record_2025-07-03_11-44-47/examples/stop_3.png
