class;source_image;copied_image
forward;Record_V2/Record_2025-08-11_18-31-58/Images/1754929975291.png;analysis_result/Record_2025-08-11_18-31-58/examples/forward_1.png
forward;Record_V2/Record_2025-08-11_18-31-58/Images/1754929976619.png;analysis_result/Record_2025-08-11_18-31-58/examples/forward_2.png
forward;Record_V2/Record_2025-08-11_18-31-58/Images/1754929976929.png;analysis_result/Record_2025-08-11_18-31-58/examples/forward_3.png
light_left;Record_V2/Record_2025-08-11_18-31-58/Images/1754929973256.png;analysis_result/Record_2025-08-11_18-31-58/examples/light_left_1.png
light_left;Record_V2/Record_2025-08-11_18-31-58/Images/1754929973412.png;analysis_result/Record_2025-08-11_18-31-58/examples/light_left_2.png
light_left;Record_V2/Record_2025-08-11_18-31-58/Images/1754929995939.png;analysis_result/Record_2025-08-11_18-31-58/examples/light_left_3.png
light_right;Record_V2/Record_2025-08-11_18-31-58/Images/1754929976077.png;analysis_result/Record_2025-08-11_18-31-58/examples/light_right_1.png
light_right;Record_V2/Record_2025-08-11_18-31-58/Images/1754929976012.png;analysis_result/Record_2025-08-11_18-31-58/examples/light_right_2.png
backward;Record_V2/Record_2025-08-11_18-31-58/Images/1754929972938.png;analysis_result/Record_2025-08-11_18-31-58/examples/backward_1.png
backward;Record_V2/Record_2025-08-11_18-31-58/Images/1754929973600.png;analysis_result/Record_2025-08-11_18-31-58/examples/backward_2.png
backward;Record_V2/Record_2025-08-11_18-31-58/Images/1754929976978.png;analysis_result/Record_2025-08-11_18-31-58/examples/backward_3.png
stop;Record_V2/Record_2025-08-11_18-31-58/Images/1754929996008.png;analysis_result/Record_2025-08-11_18-31-58/examples/stop_1.png
stop;Record_V2/Record_2025-08-11_18-31-58/Images/1754929975752.png;analysis_result/Record_2025-08-11_18-31-58/examples/stop_2.png
stop;Record_V2/Record_2025-08-11_18-31-58/Images/1754929975254.png;analysis_result/Record_2025-08-11_18-31-58/examples/stop_3.png
