class;source_image;copied_image
forward;Records/#Record_2025-07-02_09-46-48/Images/1751442750345.png;analysis_result/#Record_2025-07-02_09-46-48/examples/forward_1.png
forward;Records/#Record_2025-07-02_09-46-48/Images/1751442910733.png;analysis_result/#Record_2025-07-02_09-46-48/examples/forward_2.png
forward;Records/#Record_2025-07-02_09-46-48/Images/1751442877175.png;analysis_result/#Record_2025-07-02_09-46-48/examples/forward_3.png
light_left;Records/#Record_2025-07-02_09-46-48/Images/1751443506761.png;analysis_result/#Record_2025-07-02_09-46-48/examples/light_left_1.png
light_left;Records/#Record_2025-07-02_09-46-48/Images/1751442778869.png;analysis_result/#Record_2025-07-02_09-46-48/examples/light_left_2.png
light_left;Records/#Record_2025-07-02_09-46-48/Images/1751443302963.png;analysis_result/#Record_2025-07-02_09-46-48/examples/light_left_3.png
light_right;Records/#Record_2025-07-02_09-46-48/Images/1751444452194.png;analysis_result/#Record_2025-07-02_09-46-48/examples/light_right_1.png
light_right;Records/#Record_2025-07-02_09-46-48/Images/1751443845308.png;analysis_result/#Record_2025-07-02_09-46-48/examples/light_right_2.png
light_right;Records/#Record_2025-07-02_09-46-48/Images/1751444631089.png;analysis_result/#Record_2025-07-02_09-46-48/examples/light_right_3.png
sharp_left;Records/#Record_2025-07-02_09-46-48/Images/1751442860967.png;analysis_result/#Record_2025-07-02_09-46-48/examples/sharp_left_1.png
sharp_left;Records/#Record_2025-07-02_09-46-48/Images/1751443033957.png;analysis_result/#Record_2025-07-02_09-46-48/examples/sharp_left_2.png
sharp_left;Records/#Record_2025-07-02_09-46-48/Images/1751442870549.png;analysis_result/#Record_2025-07-02_09-46-48/examples/sharp_left_3.png
sharp_right;Records/#Record_2025-07-02_09-46-48/Images/1751444448673.png;analysis_result/#Record_2025-07-02_09-46-48/examples/sharp_right_1.png
sharp_right;Records/#Record_2025-07-02_09-46-48/Images/1751442906118.png;analysis_result/#Record_2025-07-02_09-46-48/examples/sharp_right_2.png
backward;Records/#Record_2025-07-02_09-46-48/Images/1751444343036.png;analysis_result/#Record_2025-07-02_09-46-48/examples/backward_1.png
backward;Records/#Record_2025-07-02_09-46-48/Images/1751444397821.png;analysis_result/#Record_2025-07-02_09-46-48/examples/backward_2.png
backward;Records/#Record_2025-07-02_09-46-48/Images/1751442859045.png;analysis_result/#Record_2025-07-02_09-46-48/examples/backward_3.png
stop;Records/#Record_2025-07-02_09-46-48/Images/1751444064662.png;analysis_result/#Record_2025-07-02_09-46-48/examples/stop_1.png
stop;Records/#Record_2025-07-02_09-46-48/Images/1751444275730.png;analysis_result/#Record_2025-07-02_09-46-48/examples/stop_2.png
stop;Records/#Record_2025-07-02_09-46-48/Images/1751443562220.png;analysis_result/#Record_2025-07-02_09-46-48/examples/stop_3.png
